Title,Description,Cash,Salary,Cost
"Автомобільний завод","Завод з виробництва легкових автомобілів, потребує модернізації",50000,5000,0
"Торговельний центр","Багатоповерховий торговельний центр у великому місті",120000,12000,0
"Фабрика меблів","Сучасна фабрика для виробництва меблів на замовлення",30000,2500,0
"Пекарня-підприємство","Велика пекарня з лінією кондитерських виробів",22000,1500,0
"Виноробня","Модерна виноробня з власними виноградниками",80000,7000,0
"IT-компанія","Фірма з розробки програмного забезпечення та веб-додатків",60000,10000,0
"Садовий центр","Великий садовий центр з продажем рослин та інструментів",25000,1200,0
"Логістичний хаб","Складсько-транспортний центр для обробки вантажів",45000,3000,0
"Кондитерська фабрика","Фабрика з виробництва шоколадних та цукеркових виробів",30000,2000,0
"Фітнес-комплекс","Великий спортивний комплекс з басейном та тренажерами",40000,3500,0
"Ресторанний холдинг","Мережа ресторанів високого класу у великому місті",55000,5000,0
"Текстильна фабрика","Виробництво тканин та готових текстильних виробів",35000,3000,0
"Автосервіс","Сервісний центр для ремонту та обслуговування автомобілів",20000,1000,0
"Клініка","Приватна медична клініка з сучасним обладнанням",80000,8000,0
"Будівельна компанія","Фірма для будівництва житлових та комерційних об’єктів",90000,6000,0
"Супермаркет","Великий продуктовий супермаркет у центрі міста",30000,3500,0
"Пивоварня","Промислова пивоварня з власними рецептами",40000,4000,0
"Транспортна компанія","Компанія з вантажоперевезень по Україні та за кордоном",50000,4500,0
"Швейна фабрика","Фабрика пошиття одягу для відомих брендів",25000,1500,0
"Мережа кав’ярень","Сеть популярних кав’ярень у центральних районах",30000,2500,0
"Поліграфічна компанія","Компанія з друку книг, журналів та рекламної продукції",22000,1200,0
"Лабораторія","Приватна лабораторія з медичних досліджень",60000,5000,0
"Фінансова компанія","Консалтингова компанія з управління інвестиціями",70000,6000,0
"Кінотеатр","Сучасний кінотеатр з декількома залами та технологіями 4K",45000,3500,0
"Розважальний парк","Міні-парк розваг для дітей та дорослих",35000,3000,0
"Фермерський комплекс","Велике господарство з вирощування овочів та фруктів",40000,3000,0
"Ювелірна фабрика","Фабрика з виробництва ювелірних прикрас",50000,4500,0
"Великий готель","Готель на 100 номерів з конференц-залом та рестораном",80000,7000,0
"Магазин техніки","Супермаркет з продажу електроніки та побутової техніки",30000,2500,0
"Ферма свиней","Свинарське господарство промислового рівня",35000,3000,0
"Великий салон краси","Салон з комплексними послугами для клієнтів преміум-класу",22000,1500,0
"Автомийка","Комплекс з професійним обладнанням для мийки авто",25000,1800,0
"Молочний завод","Великий завод з виробництва молочної продукції",70000,5000,0
"Туристичне агентство","Агентство з організації турів та круїзів",20000,1000,0
"Енергетична компанія","Компанія з генерації та продажу електроенергії",90000,7000,0
"Виробництво меблів","Завод з виробництва офісних та домашніх меблів",35000,3000,0
"Хімічна лабораторія","Лабораторія з розробки косметичних та побутових хімікатів",40000,3500,0
"Фармацевтична фабрика","Фабрика з виробництва ліків та БАДів",60000,5000,0
"Склад логістики","Великий склад для зберігання та дистрибуції товарів",25000,2000,0
"Великий ресторан","Ресторан високого класу з власною кухнею та шеф-кухарем",50000,4500,0
"Телеком компанія","Компанія з мобільного та інтернет-зв’язку",80000,7000,0
"Ріелторська компанія","Фірма з управління нерухомістю та орендними угодами",35000,2500,0
"Кавова фабрика","Фабрика з обсмаження та фасування кави",22000,1200,0
"Салон меблів","Великий салон продажу меблів та декору",30000,2500,0
"Мережа аптек","Сеть аптек у великих містах",40000,3500,0
"Роздрібний склад","Склад для оптового продажу продуктів та товарів",20000,1000,0
"Фінансовий холдинг","Компанія з управління інвестиційними активами",70000,6000,0
"Транспортний парк","Автопарк для перевезення вантажів та пасажирів",45000,3000,0
"Текстильний завод","Завод для виготовлення тканин та готового одягу",30000,2500,0
"Мережа супермаркетів","Сеть продуктових супермаркетів у містах",50000,4000,0
"Музейний комплекс","Музей з інтерактивними виставками та експозиціями",22000,1200,0
