Title,Description,Cash,Salary,Cost
"Квітковий магазин","Продаж квітів у центрі міста", -300,50,0
"Кав’ярня на розі","Затишна кав’ярня з щоденним потоком відвідувачів", -400,70,0
"Пекарня 'Сонячний хліб'","Випічка свіжого хліба та кондитерських виробів", -500,80,0
"Барбекю на колесах","Мобільний фургон з грилем для заходів та парків", -350,60,0
"Студія йоги та медитації","Курси для початківців та просунутих практиків", -450,65,0
"Арт-галерея","Продаж картин та творчих виробів місцевих художників", -600,90,0
"Міні-кофейня","Компактна кав’ярня з популярними напоями та десертами", -250,40,0
"Магазин настільних ігор","Продаж та організація ігрових вечорів", -300,50,0
"Фітнес-студія","Персональні тренування та групові заняття", -500,85,0
"Майстерня свічок","Виготовлення ароматичних свічок ручної роботи", -200,30,0
"Кондитерська крамниця","Торти та десерти на замовлення", -400,60,0
"Міні-квест кімната","Короткі квести для груп до 6 людей", -350,55,0
"Салон краси","Перукарські послуги та косметичні процедури", -700,120,0
"Мобільна пральня","Підприємство по пранню та прасуванню одягу на замовлення", -300,50,0
"Міні-бар","Невеликий бар у центрі з коктейлями та напоями", -500,80,0
"Тренінг-центр","Організація бізнес та особистісних тренінгів", -600,100,0
"Магазин хендмейд","Різні вироби ручної роботи, сувеніри", -200,35,0
"Льодовий коктейльний кіоск","Продаж охолоджуючих напоїв у парку", -250,40,0
"Міні-бібліотека","Оренда книг та організація клубів читачів", -150,25,0
"Велосипедна майстерня","Ремонт та продаж велосипедів та аксесуарів", -300,50,0
"Кавова студія","Обжарка та продаж кавових зерен", -450,70,0
"Міні-пекарня","Світ свіжої випічки та десертів", -300,50,0
"Фермерський ринок","Продаж органічних овочів та фруктів", -400,60,0
"Мобільний бариста","Кава та напої на заходах і фестивалях", -350,55,0
"Курс малювання","Групові та приватні заняття живописом", -250,40,0
"Міні-ресторан","Обмежена кількість столів, авторська кухня", -700,110,0
"Студія танців","Заняття різними стилями танців для всіх вікових груп", -400,65,0
"Кальян-бар","Організація відпочинку з кальянами та напоями", -500,80,0
"Ферма кроликів","Продаж м’яса та шкіри, а також кролячих кормів", -300,50,0
"Міні-піцерія","Випікання та доставка піци", -400,65,0
"Салон нігтьового сервісу","Манікюр та педикюр", -250,40,0
"Майстерня шкіряних виробів","Ремісничі сумки та аксесуари", -300,50,0
"Курс фотографії","Навчання фотографії та постобробки", -200,35,0
"Міні-магазин спортивного харчування","Протеїнові батончики та добавки", -250,40,0
"Квест для дітей","Організація ігор та завдань для малюків", -200,30,0
"Міні-пивоварня","Домашнє пиво на продаж", -500,75,0
"Майстерня іграшок","Виготовлення дерев’яних та текстильних іграшок", -300,45,0
"Студія музики","Інструменти, заняття та студійний звук", -400,60,0
"Міні-маркет","Продукти харчування для району", -350,55,0
"Кіоск здорової їжі","Смузі, салати та перекуси", -200,35,0
"Майстерня кераміки","Виготовлення глиняного посуду та декору", -250,40,0
"Книжковий магазин","Продаж книг та організація читань", -300,50,0
"Міні-кафе","Легкі страви та напої для клієнтів", -350,55,0
"Велнес-студія","Йога, фітнес та ментальне здоров’я", -400,65,0
"Міні-ательє","Пошив одягу на замовлення", -450,70,0
"Фотостудія","Професійні фотосесії та ретуш", -300,50,0
"Мобільний кіоск морозива","Продаж морозива у спекотні дні", -250,40,0
"Майстерня свічок","Ароматичні свічки ручної роботи", -200,35,0
"Міні-флористика","Сезонні букети та квіткові композиції", -250,40,0
"Міні-пекарня 'Солодкий хліб'","Свіжа випічка щодня для місцевих жителів",-350,55,0
"Кавова точка","Популярні кавові напої на винос",-250,40,0
"Майстерня ручних прикрас","Браслети та кольє з натуральних матеріалів",-300,50,0
"Фітнес-студія Express","Тренування для зайнятих людей",-450,70,0
"Кіоск з соками","Свіжі фруктові та овочеві соки",-200,35,0
"Міні-квест кімната 'Лабіринт'","Короткі і захоплюючі квести",-400,60,0
"Студія танцю 'Ритм'","Заняття для дітей та дорослих",-350,55,0
"Бар 'Час кави'","Коктейлі та напої для вечірок",-500,80,0
"Мобільна пральня","Прання та прасування на замовлення",-300,50,0
"Салон краси 'Шарм'","Перукарські послуги та косметика",-600,100,0
"Міні-бібліотека","Оренда книг та організація читань",-150,25,0
"Велосипедна майстерня","Продаж та ремонт велосипедів",-300,50,0
"Студія музики","Навчання гри на інструментах",-400,60,0
"Міні-ресторан 'Смак'","Авторська кухня та обмежена кількість столів",-700,110,0
"Ферма курей","Продаж яєць та м’яса",-350,55,0
"Міні-піцерія 'Тісто'","Випікання та доставка піци",-400,65,0
"Кальян-бар 'Димок'","Вечірній відпочинок з кальянами",-500,80,0
"Курс фотографії 'Кадр'","Навчання фотографії та обробки",-250,40,0
"Майстерня іграшок","Дерев’яні та текстильні іграшки",-300,50,0
"Фермерський ринок","Органічні овочі та фрукти",-400,60,0
"Кавова студія","Обжарка та продаж кавових зерен",-450,70,0
"Міні-кофейня","Компактна кав’ярня з напоями",-250,40,0
